date,avg_temp_c,max_temp_c,total_precip_mm,rainy_hours,max_wind_kmh,city_id,city_name,country_code
2024-01-01,7.745833333333334,10.1,8.299999999999999,8,30.6,GB_LON,Лондон,GB
2024-01-02,11.0375,12.9,9.6,11,52.3,GB_LON,Лондон,GB
2024-01-03,8.391666666666667,10.4,2.3,6,25.9,GB_LON,Лондон,GB
2024-01-04,6.825,8.2,27.7,8,27.4,GB_LON,Лондон,GB
2024-01-05,5.7,7.1,4.6000000000000005,8,33.7,GB_LON,Лондон,GB
2024-01-06,4.783333333333333,6.3,0.2,2,16.6,GB_LON,Лондон,GB
2024-01-07,3.15,4.7,0.0,0,22.2,GB_LON,Лондон,GB
